Date	year	month	Station	Latitude	Longitude	WB_ID	WB_name	WATER_DISTRICT_NAME	WATER_TYPE_AREA	MS_CD	biovol	sali	Time	POSITION	station_depth	SAMPLE_ID	MNDEP	MXDEP	DEPH	BIOV_comment	B	type_code	STATUS	new_index	index_column
2011-07-21	2011	7	FJÄRDGRUNDSOMRÅDET SEK NAMN 7	63.64467	20.38783	SE636570-203590	Fjärdgrundsområdet sek namn	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	WA39177335	0.15598571969999997			63.64_20.39	17.0	c082dd6472dd94bde59e4cfc390cc04a	0.0	10.0			0.15598571969999997	20	HIGH	105614_SE636570-203590	105614
2011-07-21	2011	7	FJÄRDGRUNDSOMRÅDET SEK NAMN 8	63.66433	20.36100	SE636570-203590	Fjärdgrundsområdet sek namn	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	WA39177335	0.172319613425			63.66_20.36	18.0	acca3e519206c52500b100fd98f37fdf	0.0	10.0			0.172319613425	20	HIGH	105615_SE636570-203590	105615
2011-08-03	2011	8	FJÄRDGRUNDSOMRÅDET SEK NAMN 9	63.65533	20.37467	SE636570-203590	Fjärdgrundsområdet sek namn	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	WA39177335	0.13469119690000003			63.66_20.37	14.0	35f72463faf77ae2eb4f94b671f2d9e1	0.0	10.0			0.13469119690000003	20	HIGH	105555_SE636570-203590	105555
2011-07-07	2011	7	LJUMVIKEN 3	63.69300	20.36600	SE636570-203590	Fjärdgrundsområdet sek namn	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	WA39177335	0.3800334613999999			63.69_20.37	2.0	51a1a426e9bf466075966e799785857b	0.0	2.0			0.3800334613999999	20	MODERATE	105635_SE636570-203590	105635
2011-07-21	2011	7	LJUMVIKEN 4	63.69133	20.36800	SE636570-203590	Fjärdgrundsområdet sek namn	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	WA39177335	0.17238354153000002			63.69_20.37	2.0	5cfa4f0d633422a2b162b1aac01675ed	0.0	2.0			0.17238354153000002	20	HIGH	105620_SE636570-203590	105620
2011-08-03	2011	8	LJUMVIKEN 5	63.69233	20.36667	SE636570-203590	Fjärdgrundsområdet sek namn	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	WA39177335	0.12697667240000002			63.69_20.37	2.0	d26e77cba11076df3508e2c2196c4bfb	0.0	2.0			0.12697667240000002	20	HIGH	105557_SE636570-203590	105557
2011-07-07	2011	7	PATHOLMSVIKEN 3	63.69467	20.35783	SE636570-203590	Fjärdgrundsområdet sek namn	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	WA39177335	0.20976508050000006			63.69_20.36	5.0	32c623026312427a0a368ffb517f9d17	0.0	5.0		Expert judgement. This is not true surface sample	0.20976508050000006	20	HIGH	105637_SE636570-203590	105637
2011-07-21	2011	7	PATHOLMSVIKEN 4	63.69350	20.35617	SE636570-203590	Fjärdgrundsområdet sek namn	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	WA39177335	0.1469942174			63.69_20.36	6.0	ab9ad7c5c90055c8ebbdfc27d826d0d0	0.0	5.0		Expert judgement. This is not true surface sample	0.1469942174	20	HIGH	105621_SE636570-203590	105621
2011-08-03	2011	8	PATHOLMSVIKEN 5	63.69650	20.35800	SE636570-203590	Fjärdgrundsområdet sek namn	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	WA39177335	0.121131631			63.70_20.36	4.0	9ce824923a35a684dfe23959c051b700	0.0	4.0		Expert judgement. This is not true surface sample	0.121131631	20	HIGH	105558_SE636570-203590	105558
2008-07-03	2008	7	NORDMALINGSFJÄRDEN	63.53717	19.49850	SE633043-193300	Nordmalingsfjärden	Bottenhavets vattendistrikt	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	WA70160635	0.678021615			63.54_19.50	12.0	cd91abe505e292f78ee19fda47cba87f	0.0	10.0			0.678021615	18	MODERATE	106707_SE633043-193300	106707
2008-07-16	2008	7	NORDMALINGSFJÄRDEN	63.53717	19.49850	SE633043-193300	Nordmalingsfjärden	Bottenhavets vattendistrikt	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	WA70160635	0.10393540786999998			63.54_19.50	12.0	5b80cf6136490b43bf504a725f54808f	0.0	10.0			0.10393540786999998	18	HIGH	106681_SE633043-193300	106681
2008-08-11	2008	8	NORDMALINGSFJÄRDEN	63.53717	19.49850	SE633043-193300	Nordmalingsfjärden	Bottenhavets vattendistrikt	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	WA70160635	0.0930889026			63.54_19.50	11.0	c2106fda0d9cb1fad4860721ff82ff0e	0.0	10.0		Expert judgement. This is not true surface sample	0.0930889026	18	HIGH	106659_SE633043-193300	106659
2009-07-03	2009	7	NORDMALINGSFJÄRDEN	63.53717	19.49850	SE633043-193300	Nordmalingsfjärden	Bottenhavets vattendistrikt	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	WA70160635	0.05579288408			63.54_19.50	10.0	265ae60325e1112723fdff24c52b735c	0.0	8.0		Expert judgement. This is not true surface sample	0.05579288408	18	HIGH	106409_SE633043-193300	106409
2009-07-29	2009	7	NORDMALINGSFJÄRDEN	63.53717	19.49850	SE633043-193300	Nordmalingsfjärden	Bottenhavets vattendistrikt	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	WA70160635	0.021897319400000007			63.54_19.50	10.0	2f180c8343f72638d17247c9750b8443	0.0	8.0		Expert judgement. This is not true surface sample	0.021897319400000007	18	HIGH	106363_SE633043-193300	106363
2009-08-19	2009	8	NORDMALINGSFJÄRDEN	63.53717	19.49850	SE633043-193300	Nordmalingsfjärden	Bottenhavets vattendistrikt	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	WA70160635	0.1860898006			63.54_19.50	12.0	4154b0ed6a1085ba5dc73a38af928c64	0.0	10.0			0.1860898006	18	HIGH	106306_SE633043-193300	106306
2010-07-01	2010	7	NORDMALINGSFJÄRDEN	63.53717	19.49850	SE633043-193300	Nordmalingsfjärden	Bottenhavets vattendistrikt	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	WA70160635	0.043991210809999994			63.54_19.50	12.0	f277c57c1edc80b59973179e1abeefc9	0.0	10.0			0.043991210809999994	18	HIGH	106061_SE633043-193300	106061
2010-07-29	2010	7	NORDMALINGSFJÄRDEN	63.53717	19.49850	SE633043-193300	Nordmalingsfjärden	Bottenhavets vattendistrikt	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	WA70160635	0.0717481261			63.54_19.50	12.0	d892215a329ce2b00f969b789156b391	0.0	10.0			0.0717481261	18	HIGH	105987_SE633043-193300	105987
2010-08-13	2010	8	NORDMALINGSFJÄRDEN	63.53717	19.49850	SE633043-193300	Nordmalingsfjärden	Bottenhavets vattendistrikt	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	WA70160635	0.0856288491			63.54_19.50	11.0	5b062e7d9d1a3a449858e51620ce41f1	0.0	9.0		Expert judgement. This is not true surface sample	0.0856288491	18	HIGH	105939_SE633043-193300	105939
2009-07-03	2009	7	LILLFJÄRDEN	63.82900	20.49500	SE634950-202940	Lillfjärden	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	WA37546341	1.3864314077			63.83_20.50	1.5	d23c558c7c2bcb1010358ddbf3438d4c	0.0	1.0			1.3864314077	20	POOR	106408_SE634950-202940	106408
2009-07-29	2009	7	LILLFJÄRDEN	63.82900	20.49500	SE634950-202940	Lillfjärden	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	WA37546341	0.7864514200000001			63.83_20.50	1.0	dd1fd288b0c0652f4e918b89347d7752	0.0	1.0			0.7864514200000001	20	POOR	106362_SE634950-202940	106362
2009-08-19	2009	8	LILLFJÄRDEN	63.82900	20.49500	SE634950-202940	Lillfjärden	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	WA37546341	0.8890642909999998			63.83_20.50	0.8	dc0299a39304d7d2231a2ccf1cdedc79	0.0	0.5			0.8890642909999998	20	POOR	106305_SE634950-202940	106305
2010-07-01	2010	7	LILLFJÄRDEN	63.82900	20.49500	SE634950-202940	Lillfjärden	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	WA37546341	0.030580472500000004			63.83_20.50	1.0	070c67ea6c1815acaa5e978a4357a312	0.0	0.5			0.030580472500000004	20	HIGH	106060_SE634950-202940	106060
2010-07-29	2010	7	LILLFJÄRDEN	63.82900	20.49500	SE634950-202940	Lillfjärden	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	WA37546341	0.2198632405			63.83_20.50	0.8	ff1d41f7772ce95d8c6d53d9c6c09be6	0.0	0.5			0.2198632405	20	HIGH	105986_SE634950-202940	105986
2010-08-18	2010	8	LILLFJÄRDEN	63.82900	20.49500	SE634950-202940	Lillfjärden	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	WA37546341	0.044545872900000005			63.83_20.50	1.0	13e663a492f35ec5210e641e1e63917a	0.0	0.5			0.044545872900000005	20	HIGH	105906_SE634950-202940	105906
2011-07-07	2011	7	LILLFJÄRDEN	63.82900	20.49500	SE634950-202940	Lillfjärden	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	WA37546341	0.44812498706000004			63.83_20.50	1.0	2a724a99c48c7d7b75703768bedf7fa1	0.0	1.0			0.44812498706000004	20	MODERATE	105634_SE634950-202940	105634
2011-07-21	2011	7	LILLFJÄRDEN	63.82900	20.49500	SE634950-202940	Lillfjärden	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	WA37546341	0.0895775716			63.83_20.50	1.0	0c9d3d2eafdb4d4d9bb4f2d2e3cd6cf5	0.0	1.0			0.0895775716	20	HIGH	105619_SE634950-202940	105619
2011-08-03	2011	8	LILLFJÄRDEN	63.82900	20.49500	SE634950-202940	Lillfjärden	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	WA37546341	0.17128696385			63.83_20.50	1.0	b1f89e4782b516f6cc57fb3aabbb5b2e	0.0	1.0			0.17128696385	20	HIGH	105556_SE634950-202940	105556
2008-07-04	2008	7	LILLFJÄRDEN DEL AV TÄFTEFJÄRDEN	63.82900	20.49500	SE634950-202940	Lillfjärden	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	WA37546341	0.1710292658			63.83_20.50	1.8	d20e86c193adb431279cf0fc858a823d	0.0	1.5			0.1710292658	20	HIGH	106700_SE634950-202940	106700
2008-07-17	2008	7	LILLFJÄRDEN DEL AV TÄFTEFJÄRDEN	63.82900	20.49500	SE634950-202940	Lillfjärden	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	WA37546341	0.7903620725999998			63.83_20.50	1.7	7054abee804784a59fb27de047a3b8fe	0.0	1.5			0.7903620725999998	20	POOR	106675_SE634950-202940	106675
2008-08-11	2008	8	LILLFJÄRDEN DEL AV TÄFTEFJÄRDEN	63.82900	20.49500	SE634950-202940	Lillfjärden	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	WA37546341	0.39626757849999994			63.83_20.50	1.5	4e6643c145df473a716ae15c415e5473	0.0	1.5			0.39626757849999994	20	MODERATE	106658_SE634950-202940	106658
2007-06-04	2007	6	SLÄGGÖ	58.25830	11.43330	SE581700-113000	Gullmarn centralbassäng	Västerhavets vattendistrikt	02 - Västkustens fjordar	WA46670058	0.5778234522999999	22.59866666666667		58.26_11.43	63.08163265306123	698d3b56fef1264750929c442bbff733	0.0	10.0			0.5778234522999999	2	HIGH	106899_SE581700-113000	106899
2007-06-11	2007	6	SLÄGGÖ	58.25830	11.43330	SE581700-113000	Gullmarn centralbassäng	Västerhavets vattendistrikt	02 - Västkustens fjordar	WA46670058	2.0565178874999996	20.921666666666667		58.26_11.43	63.08163265306123	c85621506f46ce44a94e294290f07b85	0.0	10.0			2.0565178874999996	2	GOOD	106891_SE581700-113000	106891
2007-07-02	2007	7	SLÄGGÖ	58.25830	11.43330	SE581700-113000	Gullmarn centralbassäng	Västerhavets vattendistrikt	02 - Västkustens fjordar	WA46670058	0.35071226699999997	25.939666666666668		58.26_11.43	63.08163265306123	09cc6e2a2fd3635fd9097a886e653752	0.0	10.0			0.35071226699999997	2	HIGH	106886_SE581700-113000	106886
2007-07-09	2007	7	SLÄGGÖ	58.25830	11.43330	SE581700-113000	Gullmarn centralbassäng	Västerhavets vattendistrikt	02 - Västkustens fjordar	WA46670058	6.708345249	25.66033333333333		58.26_11.43	63.08163265306123	af4e625566fa6605b2ff30e6b10c9343	0.0	10.0			6.708345249	2	POOR	106882_SE581700-113000	106882
2007-08-06	2007	8	SLÄGGÖ	58.25830	11.43330	SE581700-113000	Gullmarn centralbassäng	Västerhavets vattendistrikt	02 - Västkustens fjordar	WA46670058	0.326443901	23.84033333333333		58.26_11.43	63.08163265306123	11b0310f2f150ef2ff55ad7f93601303	0.0	10.0			0.326443901	2	HIGH	106873_SE581700-113000	106873
2007-08-27	2007	8	SLÄGGÖ	58.25830	11.43330	SE581700-113000	Gullmarn centralbassäng	Västerhavets vattendistrikt	02 - Västkustens fjordar	WA46670058	1.1190109508000001	24.725666666666665		58.26_11.43	63.08163265306123	b99022ca68e151afbde9188d5dce99e3	0.0	10.0			1.1190109508000001	2	HIGH	106867_SE581700-113000	106867
2008-06-03	2008	6	SLÄGGÖ	58.25833	11.43333	SE581700-113000	Gullmarn centralbassäng	Västerhavets vattendistrikt	02 - Västkustens fjordar	WA46670058	0.5674100519999999	20.606666666666666		58.26_11.43	63.08163265306123	facc37d7bd8d7d57f3ab333db2bbaf42	0.0	10.0			0.5674100519999999	2	HIGH	106754_SE581700-113000	106754
2008-06-09	2008	6	SLÄGGÖ	58.25833	11.43333	SE581700-113000	Gullmarn centralbassäng	Västerhavets vattendistrikt	02 - Västkustens fjordar	WA46670058	3.6024662916	25.897000000000002		58.26_11.43	63.08163265306123	ff4b35838f6cd062c9650dc63abc6db7	0.0	10.0			3.6024662916	2	MODERATE	106752_SE581700-113000	106752
2008-07-01	2008	7	SLÄGGÖ	58.25833	11.43333	SE581700-113000	Gullmarn centralbassäng	Västerhavets vattendistrikt	02 - Västkustens fjordar	WA46670058	1.020205495	25.730333333333334		58.26_11.43	63.08163265306123	379351dd4d85f3b596618624ab9d5ea7	0.0	10.0			1.020205495	2	HIGH	106728_SE581700-113000	106728
2008-07-07	2008	7	SLÄGGÖ	58.25833	11.43333	SE581700-113000	Gullmarn centralbassäng	Västerhavets vattendistrikt	02 - Västkustens fjordar	WA46670058	2.9980704609999997	22.912333333333333		58.26_11.43	63.08163265306123	a03092be8669a3750f29c8c01a3c17a4	0.0	10.0			2.9980704609999997	2	GOOD	106699_SE581700-113000	106699
2008-07-28	2008	7	SLÄGGÖ	58.25833	11.43333	SE581700-113000	Gullmarn centralbassäng	Västerhavets vattendistrikt	02 - Västkustens fjordar	WA46670058	0.38644989799999996	25.292		58.26_11.43	63.08163265306123	46e7373ec766f19fe2b71ebce636437a	0.0	10.0			0.38644989799999996	2	HIGH	106673_SE581700-113000	106673
2008-08-06	2008	8	SLÄGGÖ	58.25833	11.43333	SE581700-113000	Gullmarn centralbassäng	Västerhavets vattendistrikt	02 - Västkustens fjordar	WA46670058	0.16978584070000002	28.162333333333333		58.26_11.43	63.08163265306123	6d88eb972920f4407d77a44d36d72aa7	0.0	10.0			0.16978584070000002	2	HIGH	106665_SE581700-113000	106665
2008-08-18	2008	8	SLÄGGÖ	58.25833	11.43333	SE581700-113000	Gullmarn centralbassäng	Västerhavets vattendistrikt	02 - Västkustens fjordar	WA46670058	0.45596518230000005	26.76433333333333		58.26_11.43	63.08163265306123	fe920f9a007e1e96dc0e833c5d10b147	0.0	10.0			0.45596518230000005	2	HIGH	106638_SE581700-113000	106638
2009-06-02	2009	6	SLÄGGÖ	58.25833	11.43333	SE581700-113000	Gullmarn centralbassäng	Västerhavets vattendistrikt	02 - Västkustens fjordar	WA46670058	0.2664506571	29.769666666666666		58.26_11.43	69.0	3023a20844cda5f62830317a048f6057	0.0	10.0			0.2664506571	2	HIGH	106468_SE581700-113000	106468
2009-06-08	2009	6	SLÄGGÖ	58.25833	11.43333	SE581700-113000	Gullmarn centralbassäng	Västerhavets vattendistrikt	02 - Västkustens fjordar	WA46670058	0.314544939	30.92833333333333		58.26_11.43	66.0	41e1e04b64218a9a7319f7183635cf62	0.0	10.0			0.314544939	2	HIGH	106453_SE581700-113000	106453
2009-06-29	2009	6	SLÄGGÖ	58.25833	11.43333	SE581700-113000	Gullmarn centralbassäng	Västerhavets vattendistrikt	02 - Västkustens fjordar	WA46670058	0.16590889399999997	24.472333333333335		58.26_11.43	72.0	96bc8b63179d8ea08420c217ff5a901b	0.0	10.0			0.16590889399999997	2	HIGH	106434_SE581700-113000	106434
2009-07-07	2009	7	SLÄGGÖ	58.25833	11.43333	SE581700-113000	Gullmarn centralbassäng	Västerhavets vattendistrikt	02 - Västkustens fjordar	WA46670058	1.005412323	24.517666666666667		58.26_11.43	70.0	738f861f2d30451d80487dfef7400b1d	0.0	10.0			1.005412323	2	HIGH	106401_SE581700-113000	106401
2009-07-27	2009	7	SLÄGGÖ	58.25833	11.43333	SE581700-113000	Gullmarn centralbassäng	Västerhavets vattendistrikt	02 - Västkustens fjordar	WA46670058	0.08927354169999999	24.824333333333332		58.26_11.43	74.0	f2d68657295f0cf23da89115f0a41f59	0.0	10.0			0.08927354169999999	2	HIGH	106388_SE581700-113000	106388
2009-08-04	2009	8	SLÄGGÖ	58.25833	11.43333	SE581700-113000	Gullmarn centralbassäng	Västerhavets vattendistrikt	02 - Västkustens fjordar	WA46670058	0.4367790935	25.753666666666664		58.26_11.43	60.0	cb2ff156ba9801938df4cd2075effbe2	0.0	10.0			0.4367790935	2	HIGH	106350_SE581700-113000	106350
2009-08-22	2009	8	SLÄGGÖ	58.25833	11.43333	SE581700-113000	Gullmarn centralbassäng	Västerhavets vattendistrikt	02 - Västkustens fjordar	WA46670058	0.9636671826	25.023		58.26_11.43	64.0	20881671a91b0b9451e599aba3da1bce	0.0	10.0			0.9636671826	2	HIGH	106303_SE581700-113000	106303
2010-06-02	2010	6	SLÄGGÖ	58.25833	11.43333	SE581700-113000	Gullmarn centralbassäng	Västerhavets vattendistrikt	02 - Västkustens fjordar	WA46670058	0.7181752210000001	24.659333333333336		58.26_11.43	64.0	f2ab3ba0fda4d0ffe161e44b31d53b23	0.0	10.0			0.7181752210000001	2	HIGH	106118_SE581700-113000	106118
2010-06-28	2010	6	SLÄGGÖ	58.25833	11.43333	SE581700-113000	Gullmarn centralbassäng	Västerhavets vattendistrikt	02 - Västkustens fjordar	WA46670058	2.3615361580000003	25.687		58.26_11.43	64.0	232813b2e56fd8bf6357c86c10cbaf1b	0.0	10.0			2.3615361580000003	2	GOOD	106092_SE581700-113000	106092
2010-07-06	2010	7	SLÄGGÖ	58.25833	11.43333	SE581700-113000	Gullmarn centralbassäng	Västerhavets vattendistrikt	02 - Västkustens fjordar	WA46670058	9.162780523	21.893333333333334		58.26_11.43	64.0	4ddbd3fa6b6d9e122dedc12728076261	0.0	10.0			9.162780523	2	BAD	106054_SE581700-113000	106054
2010-07-19	2010	7	SLÄGGÖ	58.25833	11.43333	SE581700-113000	Gullmarn centralbassäng	Västerhavets vattendistrikt	02 - Västkustens fjordar	WA46670058	1.55122272	24.11		58.26_11.43	64.0	bcb922a135e006db8441cf94a2a39f90	0.0	10.0			1.55122272	2	HIGH	106027_SE581700-113000	106027
2010-08-03	2010	8	SLÄGGÖ	58.25833	11.43333	SE581700-113000	Gullmarn centralbassäng	Västerhavets vattendistrikt	02 - Västkustens fjordar	WA46670058	0.5895279527	23.283		58.26_11.43	64.0	b1bcd35df30a117c6cf98a0a0acf5b2e	0.0	10.0			0.5895279527	2	HIGH	105967_SE581700-113000	105967
2010-08-16	2010	8	SLÄGGÖ	58.25833	11.43333	SE581700-113000	Gullmarn centralbassäng	Västerhavets vattendistrikt	02 - Västkustens fjordar	WA46670058	0.22557074000000002	27.698333333333334		58.26_11.43	64.0	7252f41b0d89d19ca52820a528700826	0.0	10.0			0.22557074000000002	2	HIGH	105937_SE581700-113000	105937
2011-06-08	2011	6	SLÄGGÖ	58.25830	11.43330	SE581700-113000	Gullmarn centralbassäng	Västerhavets vattendistrikt	02 - Västkustens fjordar	WA46670058	1.7542157139999999	23.762333333333334		58.26_11.43	62.0	9a32e11db5d852bb745af429fd40d0fd	0.0	10.0			1.7542157139999999	2	HIGH	105726_SE581700-113000	105726
2011-06-17	2011	6	SLÄGGÖ	58.25830	11.43330	SE581700-113000	Gullmarn centralbassäng	Västerhavets vattendistrikt	02 - Västkustens fjordar	WA46670058	0.7524043621000002	25.659666666666666		58.26_11.43	62.0	102e57e9a26d27b865851a9bcc26c03b	0.0	10.0			0.7524043621000002	2	HIGH	105700_SE581700-113000	105700
2011-07-05	2011	7	SLÄGGÖ	58.25830	11.43330	SE581700-113000	Gullmarn centralbassäng	Västerhavets vattendistrikt	02 - Västkustens fjordar	WA46670058	0.18214027030000002	27.134666666666664		58.26_11.43	62.0	4188be41090d81fcee8de5050d3442c5	0.0	10.0			0.18214027030000002	2	HIGH	105670_SE581700-113000	105670
2011-07-10	2011	7	SLÄGGÖ	58.25830	11.43330	SE581700-113000	Gullmarn centralbassäng	Västerhavets vattendistrikt	02 - Västkustens fjordar	WA46670058	0.2068777834	21.875333333333334		58.26_11.43	62.0	eaf9dab228490911fdba744916802efa	0.0	10.0			0.2068777834	2	HIGH	105631_SE581700-113000	105631
2011-08-03	2011	8	SLÄGGÖ	58.25830	11.43330	SE581700-113000	Gullmarn centralbassäng	Västerhavets vattendistrikt	02 - Västkustens fjordar	WA46670058	0.2521067307	24.86		58.26_11.43	62.0	afa73c56d193f53de9fe29cd45d1edd7	0.0	10.0			0.2521067307	2	HIGH	105561_SE581700-113000	105561
2011-08-06	2011	8	SLÄGGÖ	58.25830	11.43330	SE581700-113000	Gullmarn centralbassäng	Västerhavets vattendistrikt	02 - Västkustens fjordar	WA46670058	0.1965854453	19.670666666666666		58.26_11.43	62.0	9b8ce5760f3fd92d44c821a7d9f70768	0.0	10.0			0.1965854453	2	HIGH	105542_SE581700-113000	105542
2012-07-03	2012	7	SLÄGGÖ	58.25830	11.43330	SE581700-113000	Gullmarn centralbassäng	Västerhavets vattendistrikt	02 - Västkustens fjordar	WA46670058	0.30000649539999996	23.767		58.26_11.43	62.0	8169d1bb45225f7a5a98e09504b36347	0.0	10.0			0.30000649539999996	2	HIGH	105236_SE581700-113000	105236
2012-07-09	2012	7	SLÄGGÖ	58.25830	11.43330	SE581700-113000	Gullmarn centralbassäng	Västerhavets vattendistrikt	02 - Västkustens fjordar	WA46670058	0.305169114	21.337999999999997		58.26_11.43	62.0	7dc541241704a6e6c3b2c52c785a8809	0.0	10.0			0.305169114	2	HIGH	105224_SE581700-113000	105224
